episode,return,length,epsilon,act0,act1,act2,act3
562,6.9072,10,0.6164,4,2,3,1
563,1.026,2,0.6162,1,1,0,0
564,4.3802,3,0.6158,0,2,1,0
565,1.2125,3,0.6155,0,3,0,0
566,4.3009,1,0.6154,0,1,0,0
567,0.6152,3,0.615,2,1,0,0
568,5.026,1,0.6149,0,1,0,0
569,13.9144,9,0.6138,6,2,0,1
570,15.3982,2,0.6136,1,1,0,0
571,63.4449,25,0.6106,6,4,9,6
572,16.6149,6,0.6099,2,1,1,2
573,0.8684,1,0.6098,1,0,0,0
574,4.1927,2,0.6096,0,0,2,0
575,0.3999,1,0.6094,0,0,0,1
576,2.3688,1,0.6093,0,0,1,0
577,5.8313,2,0.6091,0,1,0,1
578,30.3825,2,0.6088,0,2,0,0
579,13.7697,4,0.6084,2,2,0,0
580,5.0016,4,0.6079,1,2,0,1
581,18.0879,4,0.6074,0,1,2,1
582,8.4645,4,0.6069,0,1,2,1
583,2.1625,2,0.6067,0,2,0,0
584,17.9286,2,0.6065,0,1,1,0
585,70.9557,20,0.6041,1,2,13,4
586,4.6331,10,0.6029,1,5,2,2
587,10.1203,3,0.6025,1,2,0,0
588,0.0693,1,0.6024,0,0,0,1
589,15.9273,7,0.6016,3,2,1,1
590,1.6002,1,0.6015,0,1,0,0
591,7.3751,5,0.6009,0,3,1,1
592,6.1183,2,0.6006,0,1,0,1
593,13.0289,3,0.6003,0,1,2,0
594,2.0922,2,0.6001,0,1,0,1
595,3.1293,2,0.5998,2,0,0,0
596,17.5933,4,0.5993,1,1,2,0
597,0.2748,1,0.5992,0,1,0,0
598,0.3374,1,0.5991,0,1,0,0
599,1.0658,1,0.599,0,0,1,0
600,0.1348,1,0.5989,0,1,0,0
601,5.8512,1,0.5987,0,1,0,0
602,3.7083,5,0.5982,0,3,2,0
603,56.4634,19,0.5959,3,7,6,3
604,39.8851,10,0.5947,5,3,1,1
605,27.3106,15,0.5929,3,4,8,0
606,21.6737,3,0.5926,0,2,1,0
607,16.4992,5,0.592,1,1,2,1
608,0.7129,2,0.5917,1,1,0,0
609,21.4023,3,0.5914,0,1,1,1
610,2.632,1,0.5913,1,0,0,0
611,1.5002,1,0.5911,0,1,0,0
612,6.3962,1,0.591,0,0,1,0
613,13.3401,5,0.5904,1,1,2,1
614,7.2956,4,0.59,2,0,0,2
615,17.2193,4,0.5895,0,2,2,0
616,2.7005,1,0.5894,0,1,0,0
617,0.5396,2,0.5891,0,2,0,0
618,10.4764,6,0.5884,1,2,1,2
619,10.4212,5,0.5878,2,1,1,1
620,7.7518,1,0.5877,0,1,0,0
621,2.6254,1,0.5876,0,1,0,0
622,0.8764,1,0.5875,0,0,1,0
623,1.6158,2,0.5872,0,0,1,1
624,14.1418,5,0.5866,2,1,2,0
625,6.1656,2,0.5864,0,1,1,0
626,40.3235,2,0.5862,0,1,1,0
627,15.7186,22,0.5835,3,7,6,6
628,16.0719,6,0.5828,0,2,3,1
629,8.7819,3,0.5825,1,1,0,1
630,31.8285,20,0.5801,6,6,4,4
631,0.6974,1,0.58,0,1,0,0
632,5.5393,2,0.5797,1,1,0,0
633,199.8252,133,0.564,32,42,38,21
634,0.7499,1,0.5638,0,1,0,0
635,0.2893,1,0.5637,1,0,0,0
636,3.2506,1,0.5636,0,1,0,0
637,1.217,2,0.5634,0,1,1,0
638,0.4262,1,0.5632,0,0,1,0
